Time,Porosity,Inst_Amp,Inst_Phase,Inst_Freq,Hilbert,Amp_2nd_Der,Cosine_Phase,Env_w_Phase,Env_w_Freq,Energy,Sqrt_Energy,Relief,F3_Velocity_Data,F3_Seismic_Data
0,1.00E+30,27.0258312,1.5707964,1.00E+30,27.0258312,1.00E+30,0.00050792,1.00E+30,1.00E+30,1.00E+30,1.00E+30,-43487.37109,1795.994263,0
0.3554961,0.3577,26.6858616,1.5707964,1.00E+30,26.6858616,1.00E+30,-0.019956,1.00E+30,1.00E+30,1.00E+30,1.00E+30,-45077.98047,1795.994385,0
0.711,0.3576,26.3908062,1.5707964,1.00E+30,26.3908062,1.00E+30,-0.0456682,1.00E+30,1.00E+30,1.00E+30,1.00E+30,-46668.58594,1795.994385,0
1.0665,0.3576,26.1474648,1.5707964,1.00E+30,26.1474648,1.00E+30,-0.0770583,1.00E+30,1.00E+30,1.00E+30,1.00E+30,-48259.21094,1795.994507,0
1.4220041,0.3576,25.9626541,1.5707964,1.00E+30,25.9626541,1.00E+30,-0.1145551,1.00E+30,1.00E+30,1.00E+30,1.00E+30,-49849.81641,1795.994629,0
1.7775,0.3576,25.8431759,1.5707964,1.00E+30,25.8431759,1.00E+30,-0.1585874,1.00E+30,1.00E+30,1.00E+30,1.00E+30,-51440.42578,1795.994873,0
2.1329961,0.3576,25.795839,1.5707964,1.00E+30,25.795839,1.00E+30,-0.2095857,1.00E+30,1.00E+30,1.00E+30,1.00E+30,-53031.03125,1795.994995,0
2.4885,0.3576,25.8274441,1.5707964,1.00E+30,25.8274441,1.00E+30,-0.267979,1.00E+30,1.00E+30,1.00E+30,1.00E+30,-54621.64063,1795.995117,0
2.844,0.3576,25.944809,1.5707964,1.00E+30,25.944809,1.00E+30,-0.3341976,1.00E+30,1.00E+30,1.00E+30,1.00E+30,-56212.26563,1795.995483,0
3.1995041,0.3575,26.1547318,1.5707964,1.00E+30,26.1547318,1.00E+30,-0.408669,1.00E+30,1.00E+30,1.00E+30,1.00E+30,-57802.87109,1795.995728,0
3.555,0.3575,26.46402,1.5707964,1.00E+30,26.46402,1.00E+30,-0.4918221,1.00E+30,1.00E+30,1.00E+30,1.00E+30,-59393.48047,1795.995972,0
3.910496,0.3575,26.879488,1.5707964,1.00E+30,26.879488,1.00E+30,-0.5840889,1.00E+30,1.00E+30,1.00E+30,1.00E+30,-60984.08594,1795.996338,0
